OG0001643.24	OG0001566.2	OG0001698.26	OG0000027.457
-3.330537769639225	-2.0445383960764985	-2.947305888696155	-2.107803289534515
OG0002066.0	OG0001162.22	OG0000082.1	OG0001102.24
-1.879648059634778	-2.181803870978292	-2.3800705758839222	-2.3778192957794078
OG0002186.0	OG0001090.26	OG0008230.0	OG0000082.1	OG0001073.24
-1.9230305236848892	-1.8365012677171206	-1.6461121637150926	-2.3800705758839222	-2.6268251092468837
OG0000620.56	OG0001546.1	OG0001519.24	OG0000012.918
-2.1610079067062595	-2.648371670897218	-1.9579160413287477	-1.4031602455622152
OG0000010.475	OG0001023.7	OG0014661.1	OG0001236.24	OG0001156.1
-1.5407782431771522	-2.1992553760632223	-2.149440579377228	-2.691522623405039	-2.0516981876493645
OG0001299.24	OG0000002.1788	OG0000704.0	OG0017978.2	OG0001959.2
-2.3529157873710465	-1.3932735249871873	-2.045133690098103	-3.3526947016237916	-2.100360306348953
OG0000011.1	OG0001303.26	OG0001408.24	OG0001434.24
-1.347949534477697	-2.0445383960764985	-2.8953949567706894	-2.7312063248775216
OG0000479.1	OG0000038.0	OG0000728.24	OG0001235.24	OG0014687.1
-2.39744810252834	-1.8817731862070524	-1.4406550334581139	-1.9736956756480915	-2.407363571393423
OG0001061.24	OG0002128.0	OG0000964.2	OG0000006.561
-2.561494220217251	-1.7529231680691826	-2.210229022689942	-1.4663369871769107
OG0000797.20	OG0000038.0	OG0000954.24	OG0013173.1	OG0002153.0
-2.1050076690304853	-1.8817731862070524	-1.9686048037244657	-3.41119543298445	-2.248793390257147
OG0000007.976	OG0000830.1	OG0015387.0	OG0002087.0	OG0001123.1
-1.3154505308161575	-3.4198931166292352	-2.4422223286050744	-2.324816374212189	-2.4819685073978306
OG0001408.24	OG0000038.0	OG0001737.0	OG0001180.24
-2.8953949567706894	-1.8817731862070524	-3.130365444186607	-2.1373304107316016
OG0001334.24	OG0001935.0	OG0000038.0	OG0001866.0	OG0007320.10
-2.3291596641184382	-1.748311200521337	-1.8817731862070524	-1.2467377807321434	-2.4492963037521123
OG0000372.92	OG0001937.2	OG0000026.45	OG0001335.24
-2.4188898247744506	-2.5100460986686945	-1.1872142911325638	-2.701810929858678
OG0002211.0	OG0002048.0	OG0001593.20	OG0010676.1	OG0000006.561
-3.1507212674692195	-2.03268380973072	-2.365127976835786	-1.941198646383814	-1.4663369871769107
OG0000007.976	OG0001921.0	OG0000149.1	OG0001423.30	OG0002023.0
-1.3154505308161575	-2.601211852366231	-1.0522964439469233	-2.8044004245500966	-2.0570914464195833
OG0009269.4	OG0001256.24	OG0000082.1	OG0002082.0	OG0001849.0
-0.873291397803032	-2.407363571393423	-2.3800705758839222	-2.440655033458114	-2.3481331652347563
OG0001363.24	OG0008282.0	OG0000428.54	OG0000038.0	OG0002243.0
-1.6485978163700357	-1.3536529846486554	-2.208894429587471	-1.8817731862070524	-3.131629303260768
OG0000011.1	OG0001216.24	OG0001221.1	OG0001878.2
-1.347949534477697	-2.5530027593236113	-1.9342898359347342	-2.4065984188743528
OG0000007.976	OG0001214.2	OG0002054.0	OG0002039.0	OG0015982.2
-1.3154505308161575	-2.0368218438261088	-1.98564470702293	-2.3075728019102923	-2.3032939207483114
OG0000007.976	OG0001238.24	OG0001062.24	OG0001849.0
-1.3154505308161575	-2.3093594213843067	-4.0782590139204995	-2.3481331652347563
OG0000002.1788	OG0001078.24	OG0001832.1	OG0001428.1
-1.3932735249871873	-3.8648066369372662	-1.743230857238659	-2.3883554566263383
OG0007301.2	OG0001870.2	OG0001082.24	OG0000617.25	OG0000018.289
-1.7863727614880525	-2.368104140946196	-2.2009126939259964	-1.9528804514314493	-1.58337640836713
OG0001345.24	OG0000886.24	OG0002158.0	OG0000026.45
-2.248107861595691	-1.936497057693842	-1.931810741221032	-1.1872142911325638
OG0000704.0	OG0001166.24	OG0008079.18	OG0001450.26	OG0000056.0
-2.045133690098103	-2.244685095954902	-1.92631684638356	-2.538680997509246	-1.357714316940423
OG0000713.24	OG0000522.0	OG0000018.289	OG0002321.0
-2.4223657347326695	-1.907521912799615	-1.58337640836713	-2.684086034563258
OG0002121.0	OG0001330.24	OG0000615.1	OG0000006.561	OG0014747.1
-1.9170249727422317	-1.8651219456568886	-2.243318260190996	-1.4663369871769107	-1.9279628192271199
OG0000847.24	OG0001382.24	OG0000010.475	OG0016099.0	OG0001290.24
-3.168771306825942	-2.849960307225847	-1.5407782431771522	-2.0649174766813387	-2.3823253745313187
OG0002146.0	OG0008756.0	OG0001080.1	OG0001880.0	OG0000032.252
-2.544140190613815	-2.1046973786666934	-1.9873598192212296	-1.698061233034664	-1.542458237592193
OG0000007.976	OG0007857.4	OG0002129.0	OG0001182.24	OG0002218.0
-1.3154505308161575	-2.330610337987163	-1.7636604608316264	-2.7264244343846205	-2.13384372432621
OG0000165.172	OG0014175.6	OG0001298.24	OG0000018.289	OG0001253.24
-2.395928676331139	-3.324093762105477	-3.881294759725835	-1.58337640836713	-2.6601784950766576
OG0002035.0	OG0011970.0	OG0000834.30	OG0000082.1	OG0000925.1
-2.15200309344505	-0.8730271437422344	-2.2997378552532965	-2.3800705758839222	-2.3313362222997793
OG0001079.1	OG0020461.0	OG0002243.0	OG0000082.1	OG0001304.24
-2.1500807813140215	-2.1831136259850807	-3.131629303260768	-2.3800705758839222	-2.5096352500140915
OG0002150.0	OG0001403.24	OG0000846.25	OG0000032.252
-2.369594528517677	-2.1616532634787693	-2.1655314782896973	-1.542458237592193
OG0002045.0	OG0005270.34	OG0000848.32	OG0000026.45	OG0001629.5
-1.972562817293149	-3.5175440594460206	-2.9907961726701604	-1.1872142911325638	-1.6519942592184016
OG0001413.1	OG0000010.475	OG0001403.24	OG0001492.24	OG0008059.4
-2.402778731599688	-1.5407782431771522	-2.1616532634787693	-2.4528463411874313	-2.6519942592184016
OG0001386.24	OG0000038.0	OG0002116.0	OG0000661.3
-2.0415656049135844	-1.8817731862070524	-1.6380071140780375	-1.9183876771421102
OG0000007.976	OG0001176.24	OG0000236.122	OG0012651.6	OG0001180.24
-1.3154505308161575	-2.695722611934325	-1.712173132714919	-3.943194535621982	-2.1373304107316016
OG0001059.24	OG0000977.1	OG0000032.252	OG0001164.24
-2.0709665213541437	-1.6574452545226799	-1.542458237592193	-2.1268955298759025
OG0001278.2	OG0000011.1	OG0000863.32	OG0002037.0
-5.350485705569972	-1.347949534477697	-2.0991235338421013	-2.7651308482946195
OG0001546.1	OG0001495.2	OG0000026.45	OG0002013.0	OG0018965.0
-2.648371670897218	-2.5916142085935863	-1.1872142911325638	-1.8484009177306033	-2.4281775931667964
OG0000732.24	OG0000983.28	OG0013872.4	OG0001271.1	OG0000018.289
-1.9395375120138931	-2.3617871145765936	-3.310432456049533	-2.521183470950585	-1.58337640836713
OG0001292.1	OG0000002.1788	OG0001853.0	OG0001132.24	OG0013603.0
-2.5336600120205253	-1.3932735249871873	-2.3748230433194877	-2.707925050022458	-1.638456202032135
OG0000292.93	OG0006965.6	OG0000975.0	OG0000675.1	OG0000012.918
-1.802134608646262	-2.0709665213541437	-2.20157615452214	-2.365127976835786	-1.4031602455622152
OG0001921.0	OG0000011.1	OG0001303.26	OG0002176.0
-2.601211852366231	-1.347949534477697	-2.0445383960764985	-2.5096352500140915
OG0000983.28	OG0001241.24	OG0000936.24	OG0000006.561	OG0014742.1
-2.3617871145765936	-2.0525956651531994	-2.0273808609918476	-1.4663369871769107	-3.3479862587593083
OG0001246.24	OG0020706.0	OG0000559.30	OG0000056.0	OG0000801.24
-2.4679324477109694	-2.7495234474970305	-2.189022282875856	-1.357714316940423	-2.7558436043718957
OG0001357.24	OG0001328.24	OG0000006.561	OG0000901.0
-2.051399152506644	-2.3313362222997793	-1.4663369871769107	-2.023269779322847
OG0000615.1	OG0001000.24	OG0001593.20	OG0014780.4	OG0000056.0
-2.243318260190996	-1.673922915076869	-2.365127976835786	-2.262572817270941	-1.357714316940423
OG0000002.1788	OG0001432.24	OG0001536.0	OG0002000.0	OG0016933.0
-1.3932735249871873	-2.728335289022766	-2.0788683888148345	-2.065521241093117	-3.121549296903336
OG0000054.0	OG0000026.628	OG0000019.257	OG0001861.0
-1.5576668766702486	-1.9029286294560968	-1.7918573526622783	-1.6940878298433792
OG0001486.1	OG0000010.475	OG0001830.6	OG0000925.1
-2.8762013915373785	-1.5407782431771522	-2.365499661764001	-2.3313362222997793
OG0001051.24	OG0000636.1	OG0000932.26	OG0000032.252	OG0007851.2
-2.5517333399360456	-2.869859864663552	-1.9340141705014147	-1.542458237592193	-13.287712379549449
OG0001307.24	OG0013103.0	OG0000001.1420	OG0001245.24	OG0001346.24
-2.1720184273524383	-1.731685386824772	-1.3147325934831586	-2.6366606883705206	-2.3233715117570313
OG0000425.53	OG0014713.1	OG0000735.1	OG0001379.1	OG0000056.0
-2.852042118612899	-2.049904905826314	-2.2674268787048018	-2.213236378814949	-1.357714316940423
OG0001815.3	OG0000018.289	OG0001111.22	OG0001883.0
-2.6295008967976545	-1.58337640836713	-1.9202976283026219	-1.5896588953859125
OG0000011.1	OG0007922.2	OG0000664.3	OG0001472.0	OG0000543.45
-1.347949534477697	-1.6130787177821835	-2.076432432067442	-2.0430512347852514	-1.6670343374140395
OG0012745.4	OG0001212.24	OG0002043.0	OG0001040.1	OG0000032.252
-1.4165771953064041	-2.1215492969033365	-1.8714426350262425	-2.080392953091645	-1.542458237592193
OG0001550.0	OG0001038.1	OG0002028.0	OG0000006.561
-2.148161027150656	-1.8959317735362833	-1.7173822785186517	-1.4663369871769107
OG0001082.24	OG0000242.29	OG0000018.289	OG0001425.1
-2.2009126939259964	-1.9378782880922025	-1.58337640836713	-2.3628998759436683
OG0001366.26	OG0001418.30	OG0002053.0	OG0012936.4	OG0000082.1
-1.9002335137070705	-2.7710274302398394	-2.031503691022063	-2.7553564542606015	-2.3800705758839222
OG0001357.24	OG0001238.24	OG0000056.0	OG0001861.0	OG0020746.0
-2.051399152506644	-2.3093594213843067	-1.357714316940423	-1.6940878298433792	-2.8447688837007212
OG0000479.1	OG0000809.2	OG0000018.289	OG0016128.4	OG0000850.12
-2.39744810252834	-2.3906232512366934	-1.58337640836713	-2.625044004031908	-1.9933788198776201
OG0001218.24	OG0000367.3	OG0000038.0	OG0000577.45	OG0002168.0
-2.2297206567902736	-2.689194568936827	-1.8817731862070524	-3.412577398431828	-1.9697345571423308
OG0000097.1	OG0000026.45	OG0002032.0	OG0001205.24
-2.030619235058392	-1.1872142911325638	-2.03268380973072	-3.175272872767897
OG0001315.24	OG0001169.24	OG0002126.0	OG0006968.0	OG0000001.1420
-2.6003366961119823	-2.279283757478869	-2.004334590263891	-1.9246727492929352	-1.3147325934831586
OG0000002.1788	OG0002109.0	OG0016681.4	OG0001267.24	OG0001180.24
-1.3932735249871873	-2.355497627581064	-3.69974739066677	-1.742265197871355	-2.1373304107316016
OG0007066.10	OG0001390.24	OG0002319.0	OG0000032.252	OG0001180.24
-2.6082322800440036	-2.519941730772745	-1.8079321155203498	-1.542458237592193	-2.1373304107316016
OG0014506.6	OG0001146.1	OG0001461.24	OG0000278.126	OG0000012.918
-2.443791328260415	-2.3459311372709193	-2.452451460921961	-2.545402943465451	-1.4031602455622152
OG0000010.475	OG0000561.24	OG0000770.1	OG0001297.24
-1.5407782431771522	-2.258080051505312	-2.132261648237312	-2.9816506901211084
OG0000010.475	OG0000627.52	OG0001416.0	OG0001289.1
-1.5407782431771522	-2.027086823481222	-2.005203073308613	-4.065158952126021
OG0000953.26	OG0001165.26	OG0001288.1	OG0000026.45
-2.7398538734910325	-2.187707155126729	-2.518701058452435	-1.1872142911325638
OG0000007.976	OG0001778.24	OG0002036.0	OG0002233.0	OG0007270.0
-1.3154505308161575	-2.5274082542630674	-1.781404798449143	-2.091725081520941	-2.168122758808327
OG0002035.0	OG0001488.22	OG0002085.0	OG0000018.289
-2.15200309344505	-2.286304185156641	-2.3072157433659903	-1.58337640836713
OG0000011.1	OG0011328.4	OG0000941.24	OG0001456.24	OG0000737.40
-1.347949534477697	-2.8986188576449754	-1.9907961726701602	-2.096036233197022	-2.607352856035737
OG0007588.4	OG0001331.24	OG0001236.24	OG0000082.1	OG0001934.0
-1.1206078971695157	-2.3057883922321096	-2.691522623405039	-2.3800705758839222	-1.7700429914156375
OG0000007.976	OG0001090.26	OG0002334.0	OG0000901.0
-1.3154505308161575	-1.8365012677171206	-2.0688464694797744	-2.023269779322847
OG0006878.0	OG0001933.0	OG0000685.33	OG0000082.1	OG0001050.0
-1.9930916306578226	-2.218262612121666	-4.062504942605948	-2.3800705758839222	-2.1256358091751366
OG0001330.24	OG0010953.4	OG0001947.0	OG0002090.0	OG0000006.561
-1.8651219456568886	-2.8709148519433896	-2.5088139035410735	-1.641603738043346	-1.4663369871769107
OG0001360.24	OG0000011.1	OG0007933.0	OG0001277.24	OG0000369.1
-2.8323851592448888	-1.347949534477697	-0.9719967215272475	-3.456880305661412	-1.519528054772523
OG0000010.475	OG0017987.0	OG0000902.24	OG0001260.24	OG0001849.0
-1.5407782431771522	-1.6547171824064917	-2.950090477556942	-3.130365444186607	-2.3481331652347563
OG0000002.1788	OG0002123.0	OG0002019.0	OG0000896.1
-1.3932735249871873	-2.819088336631431	-2.446148031818874	-2.248793390257147
OG0001810.0	OG0000987.19	OG0001512.12	OG0000012.918
-2.1584293626044833	-1.8494403234246188	-1.6483716708972176	-1.4031602455622152
OG0000948.24	OG0001247.24	OG0002086.0	OG0000082.1	OG0007626.0
-2.186721595456688	-2.5559690888416076	-2.7592582687846603	-2.3800705758839222	-1.5842413334775023
OG0000769.0	OG0001275.26	OG0001298.24	OG0000018.289	OG0007931.1
-1.9629692690550329	-2.7140651920561276	-3.881294759725835	-1.58337640836713	-3.1661788622094176
OG0001542.3	OG0000547.0	OG0001145.3	OG0000038.0	OG0008712.0
-1.8825709164131055	-1.9933788198776201	-2.8354711391186314	-1.8817731862070524	-2.541198058410986
OG0000007.976	OG0014555.2	OG0001460.24	OG0002231.0	OG0001584.0
-1.3154505308161575	-2.1366958406572016	-2.899695094204315	-2.938984225318372	-2.8064174749183515
OG0000945.1	OG0014808.4	OG0002106.0	OG0000738.19	OG0000006.561
-2.2660383366910795	-1.6762264363085275	-2.753409497094819	-2.229382353343797	-1.4663369871769107
OG0000832.1	OG0002077.0	OG0001132.24	OG0000082.1	OG0000706.25
-1.9788045754855104	-1.626602350805788	-2.707925050022458	-2.3800705758839222	-1.787368410279046
OG0000627.52	OG0001870.2	OG0000001.1420	OG0001160.24
-2.027086823481222	-2.368104140946196	-1.3147325934831586	-2.4305089080412836
OG0015363.2	OG0001228.1	OG0002163.0	OG0000360.67	OG0000001.1420
-1.6047177958677665	-2.492484413520771	-2.5885737542735354	-2.922483530297905	-1.3147325934831586
OG0002088.0	OG0001666.14	OG0002319.0	OG0000012.918
-2.0273808609918476	-2.0516981876493645	-1.8079321155203498	-1.4031602455622152
OG0001301.24	OG0000010.475	OG0000929.1	OG0007932.0	OG0000900.25
-2.4635491698052916	-1.5407782431771522	-2.5855396941839017	-2.189022282875856	-2.3025820060825506
OG0001996.0	OG0001256.24	OG0008990.2	OG0001068.1	OG0000018.289
-1.8416629728328997	-2.407363571393423	-1.8140066299300341	-2.1265804965651434	-1.58337640836713
OG0001264.24	OG0000026.45	OG0011132.2	OG0000378.2	OG0002065.0
-2.97029976578458	-1.1872142911325638	-1.891107598367591	-2.1351106355302503	-2.5563933485243853
OG0001961.2	OG0016177.4	OG0002080.0	OG0000082.1	OG0001100.24
-2.183768949657892	-3.084364376569687	-3.016249351645075	-2.3800705758839222	-2.1012885820105054
OG0000627.52	OG0001157.1	OG0000038.0	OG0002334.0	OG0014659.1
-2.027086823481222	-2.2202780187929276	-1.8817731862070524	-2.0688464694797744	-1.0034666297197794
OG0002006.0	OG0000378.2	OG0007008.1	OG0000006.561	OG0002052.0
-2.5047141706290357	-2.1351106355302503	-2.469929257774916	-1.4663369871769107	-1.703219582573575
OG0018050.0	OG0002078.0	OG0000834.30	OG0001480.22	OG0000018.289
-2.0279691158586677	-2.8762013915373785	-2.2997378552532965	-2.635763768826003	-1.58337640836713
OG0001455.24	OG0002065.0	OG0008224.0	OG0000056.0	OG0001320.26
-2.443006615137512	-2.5563933485243853	-2.9072513144604764	-1.357714316940423	-2.1373304107316016
OG0001228.1	OG0000002.1788	OG0000367.3	OG0000755.4
-2.492484413520771	-1.3932735249871873	-2.689194568936827	-2.874084450525277
OG0014752.4	OG0000018.289	OG0001073.24	OG0000803.36	OG0002009.0
-1.2065618582775808	-1.58337640836713	-2.6268251092468837	-2.4500844463780447	-3.0362299689292374
OG0000054.0	OG0001735.3	OG0000592.34	OG0004634.3	OG0001273.24
-1.5576668766702486	-4.222700229112501	-1.6588112275212596	-2.9816506901211084	-2.6789955255288764
OG0001401.24	OG0001292.1	OG0000242.29	OG0000082.1
-2.0505024187944283	-2.5336600120205253	-1.9378782880922025	-2.3800705758839222
OG0001453.1	OG0005637.0	OG0000512.25	OG0001097.24	OG0000082.1
-2.2549778509627356	-2.378569332209552	-2.054392296818628	-2.15200309344505	-2.3800705758839222
OG0001003.24	OG0000000.3448	OG0000941.24	OG0001394.24	OG0000056.0
-1.764395467236701	-1.9345655540513669	-1.9907961726701602	-2.255666652618641	-1.357714316940423
OG0001863.0	OG0000002.1788	OG0001313.24	OG0007346.4	OG0001321.26
-1.912401382076379	-1.3932735249871873	-2.5734668618833267	-1.8970060066766743	-1.9189331195081119
OG0001303.26	OG0000283.91	OG0001468.24	OG0000977.1	OG0000082.1
-2.0445383960764985	-3.0576919438438153	-2.7350432820351775	-1.6574452545226799	-2.3800705758839222
OG0001915.0	OG0002097.0	OG0000001.1420	OG0000828.16	OG0014341.0
-1.9213901653036336	-1.593789891468435	-1.3147325934831586	-1.7558436043718955	-0.7145385948629639
OG0001055.24	OG0001259.24	OG0016178.1	OG0000038.0	OG0001186.24
-3.306145097646435	-2.435182870145254	-1.9607212046486326	-1.8817731862070524	-2.2848973639423953
OG0000935.24	OG0001798.0	OG0000018.289	OG0001346.24
-2.2677742231246545	-3.387751312965546	-1.58337640836713	-2.3233715117570313
OG0000007.976	OG0016144.4	OG0001460.24	OG0000948.24	OG0001820.0
-1.3154505308161575	-2.3989691306511904	-2.899695094204315	-2.186721595456688	-1.7326439882161124
OG0001169.24	OG0005772.1	OG0002104.0	OG0000018.289	OG0001402.24
-2.279283757478869	-1.4579896444633909	-2.2229696147991937	-1.58337640836713	-2.1360615495760285
OG0001234.24	OG0001339.1	OG0001329.24	OG0000026.45
-1.997693532616831	-2.486004020632987	-2.475535074035002	-1.1872142911325638
OG0000010.475	OG0012731.2	OG0000600.26	OG0001000.24	OG0001063.0
-1.5407782431771522	-2.134793803412827	-2.879382638782058	-1.673922915076869	-2.31114825613412
OG0002024.0	OG0001998.0	OG0001629.5	OG0000001.1420
-1.7943572580545428	-2.144329165559629	-1.6519942592184016	-1.3147325934831586
OG0000054.0	OG0000637.34	OG0001399.24	OG0000906.25
-1.5576668766702486	-2.173970213500261	-2.134793803412827	-2.2632652555088026
OG0001508.1	OG0001076.24	OG0002054.0	OG0000032.252
-2.010424979419093	-2.7661119398257226	-1.98564470702293	-1.542458237592193
OG0000002.1788	OG0000948.24	OG0014691.1	OG0000834.30	OG0001252.1
-1.3932735249871873	-2.186721595456688	-2.1552126499209403	-2.2997378552532965	-2.4595758953553424
OG0000054.0	OG0000860.24	OG0002055.0	OG0001335.24
-1.5576668766702486	-2.5047141706290357	-1.5981511252639242	-2.701810929858678
OG0002174.0	OG0000038.0	OG0001313.24	OG0001139.24	OG0001617.1
-2.4811627575634883	-1.8817731862070524	-2.5734668618833267	-2.6766875822420975	-2.49817873457909
OG0007307.2	OG0001122.1	OG0001859.0	OG0001364.24	OG0000012.918
-1.80944834796773	-2.4281775931667964	-2.816037165157405	-2.237863830098888	-1.4031602455622152
OG0000054.0	OG0001394.24	OG0000822.0	OG0002080.0	OG0019409.0
-1.5576668766702486	-2.255666652618641	-1.8921782440871464	-3.016249351645075	-2.5145731728297585
OG0001307.24	OG0000026.45	OG0001247.24	OG0016180.0	OG0002058.0
-2.1720184273524383	-1.1872142911325638	-2.5559690888416076	-1.4994018758485306	-2.051399152506644
OG0000054.0	OG0002051.0	OG0000976.24	OG0006508.0	OG0001553.14
-1.5576668766702486	-2.0673340518542216	-1.7612131404128835	-1.564051435139466	-2.475535074035002
OG0000011.1	OG0001246.24	OG0002027.0	OG0001309.24
-1.347949534477697	-2.4679324477109694	-2.449690321244904	-2.074000581443777
OG0001085.24	OG0018011.0	OG0002138.0	OG0000830.1	OG0000032.252
-2.4469344559543953	-1.3547594873547348	-4.406292471457049	-3.4198931166292352	-1.542458237592193
OG0012729.10	OG0002252.0	OG0001460.24	OG0000038.0	OG0001649.0
-3.6363018536364513	-2.005782352594006	-2.899695094204315	-1.8817731862070524	-2.473530495359169
OG0002122.0	OG0008678.1	OG0000002.1788	OG0001456.24	OG0001070.26
-3.1354275372428675	-2.163591067720262	-1.3932735249871873	-2.096036233197022	-1.7541392981596466
OG0001246.24	OG0014555.2	OG0002128.0	OG0000001.1420	OG0001184.24
-2.4679324477109694	-2.1366958406572016	-1.7529231680691826	-1.3147325934831586	-2.706511797624492
OG0001996.0	OG0002096.0	OG0001162.22	OG0000001.1420
-1.8416629728328997	-2.954557029238833	-2.181803870978292	-1.3147325934831586
OG0002063.0	OG0010970.0	OG0000056.0	OG0001249.1	OG0001263.26
-2.359934417467107	-1.9562355576898298	-1.357714316940423	-3.0150825945730797	-2.077649896309218
OG0002134.0	OG0000861.24	OG0008758.2	OG0000038.0	OG0000853.1
-2.3997302464909955	-2.038006322579745	-1.5606428215257433	-1.8817731862070524	-1.2761356763732723
OG0000397.30	OG0001244.24	OG0000082.1	OG0012951.0	OG0000415.0
-2.8385637341740133	-2.524915117051217	-2.3800705758839222	-1.639354797539784	-2.1265804965651434
OG0000915.28	OG0001584.0	OG0000082.1	OG0001137.24
-2.478346171733372	-2.8064174749183515	-2.3800705758839222	-2.1357445085812596
OG0000816.36	OG0001226.24	OG0001167.24	OG0000082.1
-2.0156658551595115	-2.395928676331139	-2.6029637591278236	-2.3800705758839222
OG0000007.976	OG0002151.0	OG0001382.24	OG0010981.0	OG0001954.0
-1.3154505308161575	-2.512925319948276	-2.849960307225847	-1.9395375120138931	-1.615287037577954
OG0001226.24	OG0000820.2	OG0000678.1	OG0000032.252	OG0011573.0
-2.395928676331139	-2.0394882898809756	-2.313297789743922	-1.542458237592193	-1.4204336398397874
OG0001996.0	OG0001095.25	OG0000615.1	OG0020744.0	OG0000056.0
-1.8416629728328997	-1.9805115704086398	-2.243318260190996	-2.452451460921961	-1.357714316940423
OG0007618.0	OG0000026.45	OG0002036.0	OG0001162.22	OG0001271.1
-2.16682653676166	-1.1872142911325638	-1.781404798449143	-2.181803870978292	-2.521183470950585
OG0000054.0	OG0002159.0	OG0002174.0	OG0002214.0
-1.5576668766702486	-1.7602353734890535	-2.4811627575634883	-1.4558113933530294
OG0000011.1	OG0002083.0	OG0002070.0	OG0001172.24
-1.347949534477697	-1.6661183405319098	-2.321206927643708	-2.392137097168765
OG0001149.24	OG0001999.0	OG0000936.24	OG0000056.0
-2.7651308482946195	-2.056491198838264	-2.0273808609918476	-1.357714316940423
OG0000919.32	OG0000002.1788	OG0001000.24	OG0001319.1
-2.4864081935004267	-1.3932735249871873	-1.673922915076869	-1.997693532616831
OG0002102.0	OG0001245.24	OG0013173.1	OG0000001.1420	OG0000803.36
-3.4894836132420526	-2.6366606883705206	-3.41119543298445	-1.3147325934831586	-2.4500844463780447
OG0000007.976	OG0002102.0	OG0002003.1	OG0001637.1
-1.3154505308161575	-3.4894836132420526	-2.4445764684381	-1.8619719552332388
OG0000002.1788	OG0011000.0	OG0001030.26	OG0002003.1	OG0002070.0
-1.3932735249871873	-1.9545570292388328	-2.3789444967002606	-2.4445764684381	-2.321206927643708
OG0009195.0	OG0000975.0	OG0000002.1788	OG0000860.24	OG0001029.24
-2.0673340518542216	-2.20157615452214	-1.3932735249871873	-2.5047141706290357	-1.907521912799615
OG0002050.0	OG0000347.80	OG0001142.24	OG0007932.0	OG0000006.561
-1.9702997657845802	-2.5924840880536992	-2.4949220852483855	-2.189022282875856	-1.4663369871769107
OG0010628.2	OG0000002.1788	OG0001455.24	OG0000909.26	OG0000518.24
-2.9434164716336326	-1.3932735249871873	-2.443006615137512	-2.4285658841234907	-2.207561069935362
