OG0006804.0	OG0004464.0	OG0000027.457	OG0004617.12	OG0000692.0	OG0000019.257	OG0000177.8	OG0002252.0	OG0006400.2	OG0001698.26	OG0009883.5	OG0004338.2	OG0001643.24	OG0004324.0	OG0000606.2	OG0001967.0	OG0000835.7	OG0004710.2	OG0002346.16	OG0000038.0	OG0000027.1	OG0004835.2	OG0001566.2	OG0000471.2	OG0012896.0	OG0000107.44
-2.0344557997682955	-1.6241542753321765	-2.107803289534515	-3.1532860593285235	-1.613520111403766	-1.7918573526622783	-2.107803289534515	-2.005782352594006	-3.5225920697297517	-2.947305888696155	-3.0576919438438153	-2.2926519125167304	-3.330537769639225	-2.607352856035737	-2.356236145662658	-1.9329120351988534	-2.5803532474685666	-3.2419527181667664	-2.321206927643708	-1.8817731862070524	-1.7403358160513485	-3.0150825945730797	-2.0445383960764985	-2.7553564542606015	-2.3140150132440978	-1.6663472852345864
OG0001701.8	OG0004304.0	OG0000100.1	OG0000349.0	OG0001823.24	OG0000018.289	OG0001829.22	OG0000183.0	OG0001296.24	OG0000539.1	OG0000350.8	OG0004239.0	OG0001996.0	OG0007785.0	OG0013573.4	OG0005097.2	OG0000923.0	OG0000409.24	OG0000048.122	OG0002971.0	OG0006546.0	OG0009077.4	OG0006799.0	OG0000006.561	OG0003169.0	OG0005034.12
-2.144329165559629	-2.16682653676166	-1.4305089080412838	-2.286304185156641	-2.5153978056277966	-1.58337640836713	-2.3584539709124765	-1.753409497094819	-2.320486120713456	-1.8598757760909297	-1.4568010998066674	-3.1253210507925444	-1.8416629728328997	-2.3800705758839222	-2.8593522068451582	-2.6197138438769216	-1.6228207102633614	-2.291945228671648	-1.92631684638356	-2.211564851526944	-1.5790595438629198	-2.594225422050124	-2.7749719167459515	-1.4663369871769107	-2.128787175742486	-2.259806382979565
OG0002761.0	OG0014849.0	OG0000109.0	OG0004961.2	OG0000279.0	OG0000265.0	OG0008128.0	OG0001550.0	OG0010995.2	OG0000318.0	OG0000011.1	OG0003329.0	OG0002946.0	OG0001347.26	OG0001667.0	OG0000702.24	OG0000884.25	OG0005222.2	OG0000671.12	OG0000431.12	OG0004964.6	OG0002185.6	OG0005687.4	OG0000006.561	OG0000112.0	OG0006611.0	OG0004968.14
-1.6762264363085275	-2.7466157641999254	-1.6975932054422744	-2.9948156241402772	-1.8018830708475446	-2.897543423349266	-3.5400228834712495	-2.148161027150656	-1.9782360257083436	-2.677610316549785	-1.347949534477697	-2.103456884144101	-1.8099541131055612	-1.7027498788282933	-2.4595758953553424	-3.1857367086002184	-2.63486740654747	-2.672082742581352	-2.4568010998066674	-1.708867987991247	-2.4900508536956893	-2.268121651191569	-3.0279691158586677	-1.4663369871769107	-1.2012443860853812	-1.1465631811119334	-2.0667295284676728
OG0000245.24	OG0013512.2	OG0000738.19	OG0001000.24	OG0003012.0	OG0000320.0	OG0005465.0	OG0003944.0	OG0000411.0	OG0002222.0	OG0007722.2	OG0003326.0	OG0007822.0	OG0000060.0	OG0000026.45	OG0005817.0	OG0000905.14	OG0000483.0	OG0000435.0	OG0002298.4	OG0003890.6	OG0000204.2	OG0002822.4	OG0000779.1	OG0002938.0	OG0000012.918
-1.367731784500487	-3.739275754853407	-2.229382353343797	-1.673922915076869	-1.6223764623642731	-2.3072157433659903	-2.11966711132536	-2.079478021209661	-2.7254699553283768	-2.5137490111158916	-2.23854450717728	-1.3036500098630126	-2.085588555718989	-1.3061450976464348	-1.1872142911325638	-2.0165411884096764	-2.6130787177821837	-2.055891200892045	-2.039784866105864	-1.8406291533397972	-1.858305638035469	-2.006941609418847	-1.5199417307727447	-2.567040592723894	-1.7658666043875175	-1.4031602455622152
OG0002761.0	OG0004979.3	OG0002080.0	OG0000339.0	OG0002909.2	OG0005073.0	OG0000302.34	OG0004396.0	OG0000007.585	OG0000009.921	OG0000198.0	OG0004784.0	OG0000187.1	OG0002157.0	OG0001669.0	OG0006103.0	OG0013937.0	OG0005081.18	OG0000467.0	OG0003171.1	OG0000011.1	OG0000923.0	OG0000310.18	OG0006414.0	OG0004470.0	OG0005703.0
-1.6762264363085275	-3.075824085003446	-3.016249351645075	-2.0908029370083128	-1.947305888696155	-1.8635460907313492	-1.9584766378156495	-1.4418303451653882	-1.347215245091244	-1.4908615842822894	-1.386091221203337	-1.9384311507319976	-1.5274082542630671	-2.483581358366132	-1.4208198518728499	-2.798868033092113	-1.8033929559051822	-2.7446805592942116	-1.7774427086512716	-2.196276993225842	-1.347949534477697	-1.6228207102633614	-1.6157291074575852	-2.1975999598851605	-1.8426975336810263	-1.6730025354342413
OG0002577.26	OG0001609.10	OG0000349.0	OG0002615.8	OG0000426.5	OG0006882.0	OG0000200.0	OG0000042.314	OG0001062.24	OG0000661.3	OG0006211.0	OG0003647.3	OG0001239.26	OG0004494.1	OG0005430.1	OG0001344.0	OG0000074.1	OG0011422.0	OG0000192.0	OG0012483.0	OG0000431.12	OG0000015.773	OG0000007.976	OG0004433.4	OG0005899.0	OG0003385.20	OG0000045.0
-1.943971461077249	-2.014499569695115	-2.286304185156641	-1.9105018491608974	-1.9132162338579333	-2.6144033039877543	-1.6481455608676208	-1.7195187256993765	-4.0782590139204995	-1.9183876771421102	-3.6597225952337458	-1.1890222828758559	-2.5855396941839017	-2.3244550229164016	-1.3632709872102522	-2.31258092262811	-1.589007712779105	-2.9765317194960947	-1.5657587667480637	-1.9607212046486326	-1.708867987991247	-0.9905094970525475	-1.3154505308161575	-2.547931769776189	-2.874084450525277	-1.9788045754855104	-1.3462979086065388
OG0001046.24	OG0008519.0	OG0008510.8	OG0001628.0	OG0000349.0	OG0003661.0	OG0000142.14	OG0005737.2	OG0006104.0	OG0003205.0	OG0000015.1	OG0018394.0	OG0009983.2	OG0001239.26	OG0006474.4	OG0005273.11	OG0003974.4	OG0000617.25	OG0002158.0	OG0000088.3	OG0002869.0	OG0002195.39	OG0002335.4	OG0000263.57	OG0000074.152	OG0000045.0	OG0000012.918
-1.7022803279564873	-2.616613653800984	-2.276834656542415	-1.576475611755665	-2.286304185156641	-1.7027498788282933	-1.5525794954095031	-1.258080051505312	-2.2622267227410604	-1.5568177330077777	-1.0081017984969645	-4.267010175758404	-3.0046240265254474	-2.5855396941839017	-1.989649811830433	-2.2834919132312543	-1.99136969485656	-1.9528804514314493	-1.931810741221032	-1.6936210892890369	-2.187378560422908	-1.83341308592955	-2.366987359798269	-3.435338929969181	-1.6375581658743559	-1.3462979086065388	-1.4031602455622152
OG0005237.0	OG0010513.2	OG0001032.24	OG0015224.0	OG0000429.0	OG0000860.24	OG0005849.2	OG0002408.0	OG0004061.2	OG0000318.0	OG0005213.22	OG0009038.2	OG0000002.1788	OG0005169.0	OG0002083.0	OG0000180.0	OG0000442.2	OG0000082.1	OG0004814.0	OG0000018.1	OG0002882.0	OG0007098.2	OG0006739.0	OG0000001.425	OG0002270.30	OG0002136.0	OG0000933.24
-2.123433941248279	-1.9362209702294289	-2.4477213090095638	-1.9528804514314493	-1.886299500835272	-2.5047141706290357	-2.8943219221054632	-2.5121020987899114	-1.8344417455388262	-2.677610316549785	-1.7568183983555279	-2.585106777439201	-1.3932735249871873	-2.5950968778548695	-1.6661183405319098	-1.341171575656346	-1.386468347082073	-2.3800705758839222	-1.99136969485656	-1.5678957765313228	-1.8854997068348074	-2.1159100908664668	-1.8986188576449754	-1.2827897009804041	-2.091725081520941	-2.147202107181229	-3.826642265516398
OG0000011.866	OG0000010.475	OG0004606.1	OG0000429.0	OG0007790.0	OG0003161.14	OG0002729.16	OG0005162.0	OG0001239.26	OG0001265.24	OG0000034.305	OG0006494.0	OG0001096.1	OG0000828.16	OG0005900.4	OG0000621.39	OG0000290.0	OG0004016.0	OG0000310.18	OG0002862.0	OG0004814.0	OG0000035.64	OG0003890.6	OG0006118.4	OG0006999.0	OG0000074.152
-1.3733272473940066	-1.5407782431771522	-2.149440579377228	-1.886299500835272	-2.537005393324501	-1.9708651959469772	-3.2082275957226343	-1.7461317195582806	-2.5855396941839017	-2.808942760073686	-1.8622341919041214	-1.98564470702293	-2.6610907271910786	-1.7558436043718955	-1.2866561049146708	-2.3022261804448143	-1.6624601578025762	-2.0929555251272016	-1.6157291074575852	-2.8365012677171206	-1.99136969485656	-1.6321816563938067	-1.858305638035469	-2.334243417320602	-2.289121949804121	-1.6375581658743559
OG0005885.2	OG0007022.0	OG0002615.8	OG0005281.1	OG0001823.24	OG0000429.0	OG0006873.3	OG0001812.2	OG0010677.0	OG0001608.24	OG0000132.40	OG0006125.2	OG0000054.0	OG0001557.1	OG0002218.0	OG0008890.18	OG0000018.842	OG0007676.5	OG0000378.2	OG0001776.0	OG0001835.21	OG0000180.0	OG0000428.54	OG0000599.0	OG0000007.976	OG0000779.1	OG0005827.2
-1.7027498788282933	-2.175272872767897	-1.9105018491608974	-2.5968413702571356	-2.5153978056277966	-1.886299500835272	-2.8385637341740133	-2.76219157045438	-2.9919434451289417	-1.332425734024981	-1.6201572725083175	-1.9037381469415966	-1.5576668766702486	-1.6615470596449509	-2.13384372432621	-0.8530841519127248	-1.4707287562940685	-2.25635578329374	-2.1351106355302503	-2.0121698234627274	-2.52616114710497	-1.341171575656346	-2.208894429587471	-1.7269019108215087	-1.3154505308161575	-2.567040592723894	-1.9997114898418764
OG0007840.0	OG0006850.0	OG0002487.0	OG0001151.26	OG0005093.2	OG0003695.0	OG0000364.1	OG0000429.0	OG0000299.1	OG0000350.8	OG0004951.0	OG0008196.2	OG0005569.4	OG0002621.3	OG0000075.0	OG0004721.2	OG0016054.3	OG0000285.1	OG0001229.1	OG0000556.30	OG0006859.2	OG0000074.152	OG0000006.561	OG0000815.24	OG0000012.918	OG0008193.4
-1.9398142349534369	-2.7117005053426695	-3.320486120713456	-2.15072126746922	-2.0522964439469233	-2.745164117214237	-1.795358434389579	-1.886299500835272	-2.255666652618641	-1.4568010998066674	-2.3989691306511904	-3.1558554189406562	-1.7710274302398392	-2.1366958406572016	-1.5942254220501242	-3.217591435072627	-0.791357890984834	-2.0634091701760617	-2.5666131908422645	-2.1028370366411657	-2.701341684435485	-1.6375581658743559	-1.4663369871769107	-2.3481331652347563	-1.4031602455622152	-2.68223286148778
OG0003370.4	OG0012271.0	OG0000109.0	OG0016942.0	OG0000018.289	OG0011497.1	OG0000336.0	OG0000132.40	OG0002444.1	OG0000015.662	OG0001753.20	OG0000056.0	OG0000867.24	OG0000139.0	OG0012904.0	OG0000206.0	OG0000074.1	OG0001766.6	OG0005222.2	OG0006122.0	OG0009039.2	OG0002106.0	OG0006127.2	OG0006139.0	OG0001512.12	OG0000112.0	OG0004203.0
-1.4831779765542241	-2.810966175609983	-1.6975932054422744	-0.6009930135276029	-1.58337640836713	-1.5073776714255542	-2.026205070347394	-1.6201572725083175	-2.3378856687903387	-1.8585672090707044	-1.6467896443759993	-1.357714316940423	-2.1115392304419593	-1.5587290095614008	-3.861237946038627	-1.6355396260397388	-1.589007712779105	-2.141780233728934	-2.672082742581352	-2.3551285102601587	-1.715959736045904	-2.753409497094819	-2.038598926835721	-2.7036894392919075	-1.6483716708972176	-1.2012443860853812	-2.63486740654747
OG0000245.24	OG0000011.866	OG0001018.1	OG0000749.2	OG0006000.0	OG0000801.24	OG0004599.4	OG0005501.1	OG0003924.0	OG0004678.12	OG0000062.12	OG0001020.31	OG0005750.0	OG0000001.1420	OG0008290.0	OG0005050.1	OG0010717.0	OG0002054.0	OG0006028.0	OG0000318.0	OG0002121.0	OG0000047.282	OG0000683.0	OG0002514.2	OG0005460.0	OG0000105.0	OG0002211.0
-1.367731784500487	-1.3733272473940066	-2.014499569695115	-2.240588467435424	-2.4023973185000735	-2.7558436043718957	-2.402778731599688	-2.3800705758839222	-2.253601233452857	-2.3408061050930518	-2.5538496598709073	-2.3280726151852633	-1.775218805604411	-1.3147325934831586	-2.640253953094529	-1.870651032789159	-2.5153978056277966	-1.98564470702293	-1.5462453931483024	-2.677610316549785	-1.9170249727422317	-2.4104282460262545	-1.3125809226281095	-2.0957278661891388	-2.707453812049662	-1.6148451031156563	-3.1507212674692195
OG0000837.0	OG0002761.0	OG0006443.2	OG0005664.4	OG0011914.6	OG0010734.0	OG0000102.0	OG0000046.1	OG0017893.0	OG0000589.0	OG0004245.1	OG0001557.1	OG0012965.0	OG0005315.0	OG0000056.0	OG0004069.4	OG0000632.24	OG0002175.0	OG0012994.0	OG0013992.0	OG0001204.24	OG0000169.16	OG0001795.0	OG0000263.57	OG0003037.24	OG0000323.43	OG0000054.0
-1.6513143306656128	-1.6762264363085275	-2.44890239384089	-2.7245161073327124	-2.141143703808664	-2.625489074231609	-1.5153978056277968	-1.8293057663129169	-1.7504939790108534	-1.6208226711091924	-2.67116353577046	-1.6615470596449509	-0.9683225035492398	-3.291945228671648	-1.357714316940423	-2.3371564825019373	-1.8385637341740129	-2.3823253745313187	-2.5916142085935863	-2.4223657347326695	-2.096036233197022	-1.6402539530945293	-2.0546919530749523	-3.435338929969181	-1.5855396941839017	-2.67853364140747	-1.5576668766702486
OG0012773.4	OG0002909.2	OG0000109.0	OG0001289.1	OG0004353.1	OG0000294.0	OG0000092.1	OG0000001.1420	OG0007184.0	OG0001230.26	OG0001778.24	OG0007448.2	OG0001125.24	OG0012908.0	OG0005097.2	OG0001551.34	OG0000090.24	OG0000483.0	OG0003233.6	OG0001601.50	OG0000380.29	OG0003875.2	OG0000001.425	OG0004723.0	OG0005092.2	OG0000006.561
-2.443006615137512	-1.947305888696155	-1.6975932054422744	-4.065158952126021	-1.4159996167142275	-2.20058107800892	-1.905628789407483	-1.3147325934831586	-2.8815073741305954	-2.014499569695115	-2.5274082542630674	-2.097270360766624	-2.5445609854369495	-2.687799537362322	-2.6197138438769216	-2.270207978440035	-1.3778192957794075	-2.055891200892045	-1.6547171824064917	-1.863283615511688	-2.7495234474970305	-2.8165452458250577	-1.2827897009804041	-2.4847921809641793	-2.1700692781603577	-1.4663369871769107
OG0000675.1	OG0002841.0	OG0000010.475	OG0000861.24	OG0006039.1	OG0000349.0	OG0001629.5	OG0000046.1	OG0003256.1	OG0003825.26	OG0000198.0	OG0018087.2	OG0000935.24	OG0000132.40	OG0006082.0	OG0007781.0	OG0002471.0	OG0005105.0	OG0005062.1	OG0001396.24	OG0007047.0	OG0000192.0	OG0000307.20	OG0002882.0	OG0004771.0	OG0004499.0	OG0000045.0
-2.365127976835786	-1.7093396881886447	-1.5407782431771522	-2.038006322579745	-1.611314492504686	-2.286304185156641	-1.6519942592184016	-1.8293057663129169	-1.6277164871194718	-3.086201035049304	-1.386091221203337	-2.1265804965651434	-2.2677742231246545	-1.6201572725083175	-1.5674681212618837	-2.245368999755758	-2.434402824145775	-2.0603972796439565	-2.0797219463164875	-2.2419527181667664	-3.208894429587471	-1.5657587667480637	-1.1504009888485485	-1.8854997068348074	-0.9948156241402767	-3.1028370366411653	-1.3462979086065388
OG0004004.10	OG0005073.0	OG0000092.1	OG0001093.24	OG0000142.14	OG0006335.0	OG0008571.0	OG0000056.0	OG0000467.0	OG0006474.4	OG0000318.0	OG0004627.2	OG0000828.16	OG0006800.0	OG0000923.0	OG0013173.1	OG0006837.2	OG0013022.0	OG0002140.0	OG0005659.6	OG0000176.0	OG0002718.4	OG0006415.0	OG0002098.0	OG0000841.0	OG0000015.773	OG0000012.918
-2.265344566520995	-1.8635460907313492	-1.905628789407483	-2.2870081105382027	-1.5525794954095031	-2.0531942938094603	-3.456642701141501	-1.357714316940423	-1.7774427086512716	-1.989649811830433	-2.677610316549785	-1.9902228783884701	-1.7558436043718955	-1.6864058534276087	-1.6228207102633614	-3.41119543298445	-2.0800879113226918	-1.3851488375778966	-2.5257456841673576	-2.827256483239813	-1.873555700275309	-2.713591944539701	-1.1863932251261728	-1.9556758311877986	-1.6495027529158668	-0.9905094970525475	-1.4031602455622152
OG0004809.0	OG0000615.1	OG0004369.0	OG0000102.0	OG0001170.24	OG0009944.3	OG0008481.0	OG0003514.0	OG0000026.45	OG0004697.0	OG0000018.842	OG0000239.0	OG0000653.1	OG0000764.26	OG0001197.24	OG0020584.0	OG0000002.1788	OG0009869.0	OG0000048.382	OG0000442.2	OG0002862.0	OG0000263.57	OG0000599.0	OG0004724.0	OG0011976.0	OG0000010.2	OG0006197.0
-2.620600837474422	-2.243318260190996	-2.9445266641015686	-1.5153978056277968	-2.163591067720262	-4.28912194980412	-1.8398542745954207	-1.897543423349266	-1.1872142911325638	-2.1475216763576133	-1.4707287562940685	-1.7107557148433576	-1.8241880062782692	-2.834441745538826	-2.1090475285429777	-3.8857662555729124	-1.3932735249871873	-3.012751907408848	-1.8079321155203498	-1.386468347082073	-2.8365012677171206	-3.435338929969181	-1.7269019108215087	-2.180495303958067	-2.1181004969452384	-1.7261857554129636	-2.298317879704717
OG0002169.0	OG0000032.252	OG0006844.0	OG0007178.0	OG0002108.0	OG0000214.0	OG0001604.2	OG0010701.0	OG0005686.0	OG0000420.0	OG0002764.20	OG0000600.26	OG0000579.24	OG0008450.4	OG0000139.0	OG0003176.17	OG0000011.1	OG0005621.0	OG0013543.0	OG0004257.24	OG0006124.2	OG0007223.2	OG0000176.0	OG0000435.0	OG0000112.0	OG0001483.24
-2.324093762105477	-1.542458237592193	-2.2542893780119995	-2.049904905826314	-1.639804305267642	-1.4204336398397874	-1.8484009177306033	-2.139553606611556	-2.464345139503214	-1.712645914970793	-1.911586990273275	-2.879382638782058	-2.25635578329374	-2.8008773579863995	-1.5587290095614008	-2.145924537878446	-1.347949534477697	-3.65018182802414	-3.067334051854221	-1.9307102872844653	-2.159073566696852	-3.1558554189406562	-1.873555700275309	-2.039784866105864	-1.2012443860853812	-2.7432308572386592
OG0001516.22	OG0000011.866	OG0000283.1	OG0005431.0	OG0001956.0	OG0000010.475	OG0000294.0	OG0000995.122	OG0000102.0	OG0013081.0	OG0009013.2	OG0003118.5	OG0004939.0	OG0000958.3	OG0007724.0	OG0000226.4	OG0010621.0	OG0000923.0	OG0000088.3	OG0000090.24	OG0000310.18	OG0005494.2	OG0001179.24	OG0002897.1	OG0004219.22	OG0001954.0
-2.1475216763576133	-1.3733272473940066	-2.0606981859003164	-3.522509172896282	-4.6518129136030675	-1.5407782431771522	-2.20058107800892	-2.539519529959989	-1.5153978056277968	-1.273343137314313	-1.3386152238202416	-1.9434164716336324	-1.8820390472675834	-1.6585834755212776	-2.1710435235823367	-1.5361683204603513	-2.670244914255253	-1.6228207102633614	-1.6936210892890369	-1.3778192957794075	-1.6157291074575852	-2.7480688733114134	-2.178534676194175	-2.0588936890535687	-2.61705613043101	-1.615287037577954
OG0005237.0	OG0003241.1	OG0009086.4	OG0000598.0	OG0003755.0	OG0000081.1	OG0001370.24	OG0009271.0	OG0000407.1	OG0000979.1	OG0000494.1	OG0002713.0	OG0000710.0	OG0000318.0	OG0000000.3460	OG0000018.842	OG0004605.20	OG0002852.4	OG0016261.0	OG0005232.0	OG0001667.0	OG0001479.24	OG0000007.976	OG0001911.24	OG0000054.0
-2.123433941248279	-1.9329120351988534	-1.7461317195582806	-2.0	-1.732164607902385	-2.2048980418771755	-2.5708929182195006	-1.837274347153797	-2.039784866105864	-1.9768156307517366	-1.3386152238202416	-2.599899316984519	-1.9825056205407274	-2.677610316549785	-2.1694201465224596	-1.4707287562940685	-2.6099927379084407	-2.188693388530219	-1.4375255419036752	-2.4591791690938325	-2.4595758953553424	-2.519528054772523	-1.3154505308161575	-2.1616532634787693	-1.5576668766702486
OG0004979.3	OG0000032.252	OG0000125.49	OG0004353.1	OG0005940.0	OG0000187.1	OG0002752.1	OG0000453.2	OG0000127.0	OG0000054.0	OG0000994.2	OG0004330.0	OG0003176.17	OG0004569.0	OG0000869.2	OG0012233.4	OG0000697.0	OG0003628.6	OG0005333.0	OG0002335.4	OG0005134.0	OG0007751.0	OG0000074.152	OG0000112.0	OG0001078.24	OG0000917.1
-3.075824085003446	-1.542458237592193	-2.512925319948276	-1.4159996167142275	-2.448114896528275	-1.5274082542630671	-2.3226496228048217	-2.026205070347394	-1.4623560380701153	-1.5576668766702486	-2.3255393484397415	-2.4035418604410146	-2.145924537878446	-2.1821311982720135	-3.0	-2.3327890875191293	-1.5644780786560724	-2.010134377133713	-0.7590140959752614	-2.366987359798269	-2.7670936989931696	-2.8365012677171206	-1.6375581658743559	-1.2012443860853812	-3.8648066369372662	-2.996541680227589
OG0000121.128	OG0000320.0	OG0000018.289	OG0001829.22	OG0005157.0	OG0000265.0	OG0004245.1	OG0012912.2	OG0001425.1	OG0007950.0	OG0000929.1	OG0000018.842	OG0004183.0	OG0006805.0	OG0011419.0	OG0000272.36	OG0004867.1	OG0002858.1	OG0000702.24	OG0000677.1	OG0006027.0	OG0001217.1	OG0005460.0	OG0009953.0	OG0000748.0	OG0000112.0	OG0000045.0
-2.13384372432621	-2.3072157433659903	-1.58337640836713	-2.3584539709124765	-1.411003597994354	-2.897543423349266	-2.67116353577046	-3.566613190842264	-2.3628998759436683	-1.718094076102808	-2.5855396941839017	-1.4707287562940685	-1.945082080871042	-2.0929555251272016	-1.1112275322575584	-1.810207062179741	-2.7413001844300973	-2.49817873457909	-3.1857367086002184	-2.0631076980109504	-2.1325779246916947	-2.1713684183119812	-2.707453812049662	-1.7169079418249529	-1.9042780777266743	-1.2012443860853812	-1.3462979086065388
OG0004225.4	OG0005944.0	OG0000604.1	OG0001749.32	OG0005626.0	OG0001617.48	OG0002146.0	OG0000183.0	OG0000007.585	OG0007509.2	OG0000196.0	OG0000923.0	OG0000232.19	OG0005400.0	OG0006379.10	OG0012909.2	OG0000310.18	OG0000391.20	OG0007025.0	OG0001461.24	OG0001958.0	OG0002028.0	OG0005311.3	OG0004808.0	OG0002270.30	OG0000045.0	OG0000012.918
