OG0000038.0	OG0004617.12	OG0000019.257	OG0009883.5	OG0004464.0	OG0000606.2	OG0000027.1	OG0002252.0	OG0001967.0	OG0000107.44	OG0000177.8	OG0000692.0	OG0004835.2	OG0000835.7	OG0006400.2	OG0004338.2	OG0004324.0	OG0002346.16	OG0006804.0
-0.6670343374140395	-1.4977712511585333	-1.0025991910479572	-1.2405884674354237	-0.4894431045997583	-0.5625591756364571	-0.3176064889372687	-0.5324074912870507	-1.0822245593988842	-0.923304098169617	-0.6954889581900472	-0.11450372678347603	-13.287712379549449	-2.518701058452435	-1.5674681212618837	-0.3237325917341102	-2.168122758808327	-0.6093323144403325	-0.4494932990471394
OG0000015.1	OG0005693.0	OG0007186.0	OG0000000.305	OG0001319.1	OG0000323.43	OG0001619.0	OG0000007.976	OG0000318.0	OG0000746.0	OG0005282.0	OG0000350.8	OG0000121.128	OG0002940.48	OG0014044.0	OG0004511.10	OG0000391.20	OG0008180.1	OG0003696.0
0.7040751643766956	-0.5585165204173554	-0.9537184967880897	-1.6051566384691394	-0.5764756117556651	-1.4647432890961618	-0.848141183272995	-0.24982229440694287	-0.8614476248473515	-0.7145385948629639	-2.15200309344505	-0.40144422667648927	-0.9810810178369486	-1.0883467626914678	-13.287712379549449	-0.601211852366231	-0.35328433892264566	-3.009262921328968	-0.5004219529898684
OG0001150.24	OG0013523.0	OG0004749.2	OG0007208.0	OG0010591.0	OG0002487.0	OG0002614.0	OG0002519.0	OG0000486.2	OG0000000.3460	OG0003922.0	OG0000749.2	OG0008106.2	OG0000196.0	OG0003156.4	OG0002181.0	OG0000039.0	OG0000239.0	OG0001538.6
-1.5829441401868507	-2.666576266274808	-0.9219367442231812	-1.8677522017015604	-1.0540927027897475	-1.322649622804822	-0.6407037411078027	-0.6073528560357366	-0.6604064990346017	-1.0534937013109786	-1.1870500405442508	-0.3830777578812987	-2.1165355818976774	-0.21089678249861854	-1.1341603478413376	-0.5259534006806945	-0.03637791489059239	-0.4494932990471394	-0.48822837392943463
OG0000838.0	OG0004239.0	OG0002777.4	OG0001089.2	OG0008596.4	OG0001829.22	OG0000364.1	OG0000009.921	OG0006877.0	OG0001064.24	OG0000442.2	OG0000196.0	OG0003956.4	OG0000473.1	OG0003735.2	OG0000112.0	OG0000102.0	OG0005885.2
-0.7634155418868248	-1.4643451395032143	-0.8114724732255982	-0.6252665219687858	-2.0350469470992008	-0.6197138438769217	-0.7065117976244923	-0.07263446472662155	-2.8900377466011817	-1.4981787345790896	-0.22617242101930626	-0.21089678249861854	-1.192315356756893	-1.0472191556726504	-0.8257214289638778	-0.1919857109104024	-0.012315322433239274	0.9687174738074495
OG0000011.866	OG0005416.0	OG0012224.0	OG0000575.28	OG0007208.0	OG0003494.6	OG0002860.1	OG0004971.4	OG0000598.0	OG0000411.0	OG0000081.1	OG0001806.0	OG0000007.585	OG0000047.282	OG0014066.4	OG0002138.0	OG0008127.0	OG0004292.0	OG0000239.0
0.3951725059957788	-1.3872228947148009	-3.571407339705032	-0.6810758359699232	-1.8677522017015604	-0.044984843562929595	-1.4065984188743528	-1.6989977439671857	-0.1898448469216803	-1.1165355818976774	-0.890037746601182	-0.6608626150804147	-0.3949798469375905	-0.4221724087637519	-0.3402580727822305	-2.6038405109268457	-2.22431729826094	-1.1597180585730555	-0.4494932990471394
OG0000044.1	OG0001753.20	OG0000018.842	OG0013963.0	OG0006286.4	OG0005137.0	OG0001528.16	OG0003304.0	OG0003514.0	OG0005265.10	OG0000169.16	OG0004933.6	OG0001168.24	OG0004467.6	OG0000519.26	OG0000047.282	OG0000060.0	OG0000002.1788	OG0005517.0
-0.6009930135276029	-0.6670343374140395	-0.48559996096338387	-2.3371564825019373	-2.4532413295652273	-0.8828369245342406	-0.10780328953451503	-0.5290727425248735	-0.8839014477634204	-1.9776676999019436	-0.3176064889372687	-1.1956159645586584	-1.250508638397475	-1.9148473194368616	-0.45304382185858866	-0.4221724087637519	-0.3237325917341102	0.2893623404769398	-1.2639580262500323
OG0000011.866	OG0002682.12	OG0015299.0	OG0000663.26	OG0000074.152	OG0011454.0	OG0003630.6	OG0000318.0	OG0002211.0	OG0006328.0	OG0006859.2	OG0000350.8	OG0007546.0	OG0002486.16	OG0006802.11	OG0000584.0	OG0000127.0	OG0004437.0	OG0003155.34
0.3951725059957788	-0.7744782657433966	-1.7784322114615907	-1.3011592297927905	-0.5625591756364571	-2.0215114670504883	-0.6592668394122683	-0.8614476248473515	-0.77324487673018	-1.3879778371919382	-1.6808445421752973	-0.40144422667648927	-0.6656605600930732	-0.5691795034802285	-2.20157615452214	1.6572284011610958	-0.41676977290008077	-1.6938544406912261	-0.950090477556942
OG0002954.0	OG0000310.18	OG0001557.1	OG0004226.0	OG0006642.0	OG0000010.64	OG0004989.0	OG0011211.0	OG0005109.6	OG0002009.0	OG0000349.0	OG0002448.22	OG0003197.4	OG0004238.6	OG0005057.0	OG0000027.457	OG0002768.0	OG0000302.34	OG0000753.0
-0.7670936989931695	-0.14082554413356455	-0.8517817278458553	-1.814513995871922	-1.788863173017725	-0.09403302480772001	-0.560430050337261	-1.001732273621237	-1.5215976219627267	-0.9551163217602352	-0.4111954329844497	-0.5395195299599892	-1.104387155024838	-0.8001235331634196	-1.416962376203336	-0.9018499789079885	-0.6663472852345864	-0.896200256842332	-1.4077462998850927
OG0004326.0	OG0000700.36	OG0003073.0	OG0000100.1	OG0001301.24	OG0004113.4	OG0007309.0	OG0000169.16	OG0000338.41	OG0002449.21	OG0012206.0	OG0000121.128	OG0000857.0	OG0009061.6	OG0007555.0	OG0005939.0	OG0006414.0	OG0000002.1788	OG0000239.0
-1.5504650365217114	-1.1127866970487705	-1.1989241408325426	-0.00926292132896792	-0.8945901059599186	-1.037710111709001	-1.5916142085935863	-0.3176064889372687	0.7966808083669082	-0.291238890816222	-2.458782551897963	-0.9810810178369486	-0.6608626150804147	-1.134793803412827	-2.016249351645075	-1.3902450378275566	-1.151682530163898	0.2893623404769398	-0.4494932990471394
OG0009779.2	OG0006236.0	OG0007778.4	OG0005266.0	OG0004694.0	OG0000616.40	OG0004460.9	OG0002185.6	OG0000318.0	OG0001155.24	OG0004737.6	OG0005099.0	OG0000121.128	OG0000035.64	OG0004569.0	OG0000142.14	OG0003459.2	OG0000039.0	OG0000431.12
-1.7690592238760594	-0.6427295243204406	-0.8722346718514549	-0.7069827279504917	-0.8437328369481963	-0.7641504234924366	-1.1752728727678972	-1.386091221203337	-0.8614476248473515	-1.2608431742860542	-1.8556925327369578	-1.0761282264699223	-0.9810810178369486	0.0001442622910945383	-0.989363363891263	-0.09557370739849257	-0.11044858129598112	-0.03637791489059239	-0.3122226226036953
OG0003521.2	OG0000231.0	OG0009811.0	OG0000100.1	OG0000090.24	OG0000187.1	OG0003630.6	OG0000009.921	OG0006577.0	OG0011881.8	OG0005229.4	OG0004960.0	OG0000121.128	OG0001030.26	OG0000857.0	OG0000658.0	OG0002939.24	OG0003505.8	OG0007494.0
-1.4250750219906556	-0.34117157565634604	-1.4077462998850927	-0.00926292132896792	0.15328652099086262	-0.2067283455019175	-0.6592668394122683	-0.07263446472662155	-1.2129019183889953	-2.4104282460262545	-1.855170479161191	-0.0027437279454271078	-0.9810810178369486	-0.947305888696155	-0.6608626150804147	-0.9235777245413976	-1.3415371388258908	-2.207561069935362	-0.2248230043037026
OG0005479.0	OG0001409.1	OG0002260.4	OG0004183.0	OG0004580.6	OG0000343.0	OG0000451.0	OG0000200.0	OG0000246.0	OG0000349.0	OG0001785.1	OG0005438.0	OG0005184.0	OG0000699.1	OG0007825.2	OG0006513.0	OG0006820.0	OG0000102.0	OG0000039.0
-1.225666241828959	-1.9590374522215022	-0.8367589148364569	-0.7326439882161124	-1.677148875624409	-0.009698583431293964	-0.2004152986302959	-0.1934697107404345	-0.5324074912870507	-0.4111954329844497	-0.7801654761146294	-1.087426774325152	-0.6615470596449509	-0.8178162308785316	-2.864596469402349	-2.7112280327525977	-1.325177816038178	-0.012315322433239274	-0.03637791489059239
OG0012767.2	OG0000483.0	OG0000480.64	OG0004326.0	OG0007208.0	OG0000007.3	OG0005315.0	OG0001656.2	OG0005640.2	OG0000032.252	OG0000349.0	OG0000411.0	OG0000779.1	OG0000442.2	OG0000042.314	OG0004560.0	OG0017937.0	OG0005856.2	OG0010757.0
-1.8672257667236745	-0.9683225035492398	-1.2385445071772796	-1.5504650365217114	-1.8677522017015604	-0.23565384492254624	-1.6073528560357366	-0.35328433892264566	-1.1510416172076048	-0.3082871842179762	-0.4111954329844497	-1.1165355818976774	-1.3284348738289469	-0.22617242101930626	-0.2813863010245155	-1.4449691988177917	-3.5378429521526056	-2.107181572204967	-1.5777669993169523
OG0001610.50	OG0000575.28	OG0005222.2	OG0001656.2	OG0004565.2	OG0012686.0	OG0000616.40	OG0000486.2	OG0001701.8	OG0004469.6	OG0010723.0	OG0000269.0	OG0005892.2	OG0000350.8	OG0000088.3	OG0005184.0	OG0000027.457	OG0006625.0	OG0002132.0
-1.0180012584066676	-0.6810758359699232	-1.6601784950766576	-0.35328433892264566	-1.4691302020685912	-1.1022174553385833	-0.7641504234924366	-0.6604064990346017	-1.056491198838264	-1.0028882793248266	-1.8525630411825191	-0.5409881355236181	-0.3842070691255694	-0.40144422667648927	-0.11434754870041268	-0.6615470596449509	-0.9018499789079885	-1.4185041289986233	-0.9517638143471524
OG0000015.1	OG0003686.4	OG0007429.0	OG0001575.2	OG0000421.80	OG0012106.0	OG0003731.0	OG0000486.2	OG0007145.0	OG0000537.8	OG0004744.2	OG0000350.8	OG0000779.1	OG0000145.16	OG0003327.0	OG0001608.24	OG0000391.20	OG0000002.1788	OG0000239.0
0.7040751643766956	-1.7350432820351775	-1.3415371388258908	-0.4012536838457442	-2.084364376569687	-1.7983661388303496	-0.7025150842894256	-0.6604064990346017	-1.3588239401518136	-0.7223722523409946	-1.1962769932258421	-0.40144422667648927	-1.3284348738289469	-1.130049652341001	-0.9219367442231812	-0.3122226226036953	-0.35328433892264566	0.2893623404769398	-0.4494932990471394
OG0000011.866	OG0000119.0	OG0000976.24	OG0003745.1	OG0005239.0	OG0000638.38	OG0000109.0	OG0004975.0	OG0010686.0	OG0007401.0	OG0003826.6	OG0000343.0	OG0000746.0	OG0002791.5	OG0000350.8	OG0000805.29	OG0011155.4	OG0000302.34	OG0006461.4
0.3951725059957788	-0.8567372069613801	-0.8377899636856931	-1.4355730513622063	-1.39744810252834	-1.3047188048551392	-0.30953820508128127	-1.1497606448340905	-1.1966076211729497	-0.9867878885731491	-0.501646998385488	-0.009698583431293964	-0.7145385948629639	-1.6592668394122683	-0.40144422667648927	-0.6716230659673341	-1.9013109559086716	-0.896200256842332	-1.6579004351672157
OG0000139.0	OG0003494.6	OG0000748.0	OG0000559.30	OG0000923.0	OG0005685.0	OG0003623.8	OG0003535.14	OG0012533.6	OG0000749.2	OG0002791.5	OG0007835.4	OG0006082.0	OG0000265.0	OG0009123.2	OG0004046.0	OG0000012.918	OG0001435.1	OG0000239.0
-0.6077925010310296	-0.044984843562929595	-0.7784322114615907	-1.033864894562046	0.7399344890375401	-0.3932735249871873	-1.352178966598703	-0.3120435059555183	-2.0788683888148345	-0.3830777578812987	-1.6592668394122683	-0.01814734671025936	-0.4367442285670112	-1.097270360766624	-1.0350469470992008	-0.41676977290008077	-0.17576167339628612	-1.0200478420483303	-0.4494932990471394
OG0002008.0	OG0002511.6	OG0008932.0	OG0000815.24	OG0000018.289	OG0004473.2	OG0004611.1	OG0004836.2	OG0000923.0	OG0002882.0	OG0000105.0	OG0007777.2	OG0006547.0	OG0000160.4	OG0002869.0	OG0000196.0	OG0001776.0	OG0000589.0	OG0000239.0
-1.058593158890855	-0.7993701020169257	-1.7273795453370082	-1.1661788622094176	-0.18885782633069192	-1.4977712511585333	-1.7183314200271549	-1.2522259282572952	0.7399344890375401	-0.23463499245019467	0.3918776772778659	-1.2997378552532965	-1.2025719178476868	-0.030913993470059714	-1.309001920443092	-0.21089678249861854	-0.923304098169617	-0.7725053491406988	-0.4494932990471394
OG0005940.0	OG0005135.4	OG0005468.0	OG0008895.6	OG0001626.24	OG0000043.242	OG0000829.5	OG0000350.8	OG0003197.4	OG0000245.24	OG0000228.54	OG0007725.0	OG0004379.8	OG0015311.0	OG0005827.2	OG0001892.0	OG0000147.0	OG0000002.1788	OG0002922.0
-0.7004036512159048	-1.6569902174456101	-1.4398720239187364	-1.520769438793664	-0.6321816563938067	-0.1305233660345985	-0.668180151977398	-0.40144422667648927	-1.104387155024838	-0.6384562020321349	-0.48964565918638664	-1.4308978270464396	-0.5689654696483859	-1.238204128494354	-0.9186603725480612	-0.8414044484991035	-1.5803532474685666	0.2893623404769398	-0.46414610590410044
OG0000018.842	OG0000575.28	OG0002399.4	OG0001557.1	OG0003012.0	OG0004460.9	OG0000230.58	OG0002778.0	OG0003329.0	OG0003695.0	OG0001951.0	OG0000007.585	OG0005210.0	OG0001415.1	OG0002752.1	OG0005990.0	OG0000054.0	OG0003068.0	OG0012143.2
-0.48559996096338387	-0.6810758359699232	-0.43791635730384093	-0.8517817278458553	-0.5629853780150043	-1.1752728727678972	-0.15136203809529378	-0.7941070724923293	-0.9845024306046745	-1.7393720918733013	-0.703219582573575	-0.3949798469375905	-1.8293057663129169	-0.7062763900950659	-1.564051435139466	-2.2813863010245155	-0.11450372678347603	-0.5454029434654504	-2.452451460921961
OG0005137.0	OG0000139.0	OG0007208.0	OG0001557.1	OG0005640.2	OG0001998.0	OG0001620.0	OG0007101.0	OG0000009.921	OG0003251.1	OG0000121.14	OG0004100.0	OG0002752.1	OG0001553.14	OG0000060.0	OG0007127.0	OG0000256.24	OG0005524.6	OG0000245.24
-0.8828369245342406	-0.6077925010310296	-1.8677522017015604	-0.8517817278458553	-1.1510416172076048	-0.8285369439974191	-0.37763184758309515	-1.2677742231246545	-0.07263446472662155	-0.7560872411268253	-1.4177330466494877	-1.396308382884427	-1.564051435139466	-0.6452093507689292	-0.3237325917341102	-1.6656605600930732	-0.250165425587271	-1.3259009714622862	-0.6384562020321349
OG0000045.0	OG0005530.6	OG0003098.12	OG0000139.0	OG0004369.0	OG0006855.18	OG0000751.0	OG0001283.1	OG0000336.0	OG0004571.0	OG0005663.12	OG0004737.6	OG0002286.10	OG0004141.18	OG0000075.0	OG0002863.0	OG0000710.0	OG0011292.4	OG0000239.0
-0.2716005413289375	-0.9514847900660605	-1.2165852546011395	-0.6077925010310296	-1.6456606866214725	-2.3364276645824775	-1.218262612121666	-1.1561769108731044	-0.4330387576855113	-0.8437328369481963	-1.54877569787331	-1.8556925327369578	0.4255667240752513	-1.0235630398261213	-0.44929630375211244	-0.24656661207311956	-0.6517675807607293	-2.2997378552532965	-0.4494932990471394
OG0000015.773	OG0005141.0	OG0003338.0	OG0005077.4	OG0000878.5	OG0000074.152	OG0001567.1	OG0000187.1	OG0000343.0	OG0000175.4	OG0000841.0	OG0009977.0	OG0007351.6	OG0000078.263	OG0013635.2	OG0005939.0	OG0004693.0	OG0005822.2	OG0000039.0
0.24744147114440776	-1.808942760073686	-0.25068027542591964	-0.8799135293274745	-0.7364847759511612	-0.5625591756364571	-1.190009416024795	-0.2067283455019175	-0.009698583431293964	-0.9548366483967755	-0.7086321957146922	-2.1713684183119812	-1.3075728019102923	-1.768567591552035	-1.1577854460390562	-1.3902450378275566	-0.6762264363085275	-1.2747387311749092	-0.03637791489059239
OG0003987.6	OG0004376.0	OG0003977.1	OG0000646.28	OG0000006.561	OG0000310.18	OG0006047.8	OG0010675.4	OG0000132.40	OG0004244.2	OG0000746.0	OG0002060.0	OG0000480.25	OG0000112.0	OG0000047.282	OG0002863.0	OG0001892.0	OG0002444.1	OG0004054.20
-0.8588288275392587	-2.162944843726976	-1.1090475285429775	-0.21943792382894028	-0.17266872938773947	-0.14082554413356455	-0.9905094970525475	-1.689194568936827	-0.12406270353362446	-1.6192705514964514	-0.7145385948629639	-0.6891945689368271	-1.6447581560691176	-0.1919857109104024	-0.4221724087637519	-0.24656661207311956	-0.8414044484991035	-0.18360509083087875	-1.6702449142552531
OG0000018.842	OG0003521.2	OG0005093.2	OG0002485.15	OG0003983.0	OG0006309.0	OG0001165.26	OG0005445.3	OG0000242.29	OG0014619.0	OG0000486.2	OG0001701.8	OG0000169.16	OG0002752.1	OG0005652.0	OG0000035.64	OG0000027.457	OG0006866.0	OG0000290.0
-0.48559996096338387	-1.4250750219906556	-0.7838866415536987	-1.286304185156641	-0.8788519435246895	-1.340440727089101	-1.35144252194724	-1.714538594862964	-1.1313132346778652	-2.282789700980404	-0.6604064990346017	-1.056491198838264	-0.3176064889372687	-1.564051435139466	-0.8295621314918924	0.0001442622910945383	-0.9018499789079885	-0.5597919249862502	-0.5907448533151622
OG0006023.0	OG0000007.3	OG0000583.0	OG0004183.0	OG0000272.36	OG0003829.0	OG0003514.0	OG0000349.0	OG0001806.0	OG0006395.0	OG0010692.0	OG0004819.4	OG0004678.12	OG0001659.0	OG0001540.26	OG0000710.0	OG0006737.2	OG0000026.45	OG0000245.24
-1.3029379195026087	-0.23565384492254624	-0.17397021350026112	-0.7326439882161124	-1.0174170530774094	-0.8326420722614859	-0.8839014477634204	-0.4111954329844497	-0.6608626150804147	-2.0191703792493265	-1.7968615028091515	-0.97171375692089	-0.9762478641010051	-0.5061477523051228	-0.8701235391668696	-0.6517675807607293	-2.230397501766746	-0.1413028099616662	-0.6384562020321349
OG0007832.0	OG0000294.0	OG0000139.0	OG0001575.2	OG0008449.4	OG0000109.0	OG0003866.0	OG0009980.2	OG0000242.29	OG0000746.0	OG0000026.45	OG0004744.2	OG0000007.585	OG0012663.4	OG0000112.0	OG0002971.0	OG0002044.0	OG0006135.0	OG0004054.20
-0.9731291352752548	-0.5213905315954883	-0.6077925010310296	-0.4012536838457442	-3.248793390257147	-0.30953820508128127	-0.5024642736039957	-2.1610079067062595	-1.1313132346778652	-0.7145385948629639	-0.1413028099616662	-1.1962769932258421	-0.3949798469375905	-2.2947740433836357	-0.1919857109104024	-0.9159357352115255	-1.5491978471201813	-0.08865355589642802	-1.6702449142552531
OG0000011.866	OG0000307.20	OG0000048.382	OG0006055.0	OG0001778.24	OG0000187.1	OG0000343.0	OG0004935.0	OG0000746.0	OG0006117.2	OG0000269.0	OG0001415.1	OG0004494.1	OG0002572.0	OG0000042.314	OG0003735.2	OG0008125.0	OG0010621.0
0.3951725059957788	-0.13336891930599895	-0.7607241741174424	-0.9646576192078029	0.4137023887821764	-0.2067283455019175	-0.009698583431293964	-0.31616882559867737	-0.7145385948629639	-1.0963446661305085	-0.5409881355236181	-0.7062763900950659	-1.139235797371172	-0.639130096185714	-0.2813863010245155	-0.8257214289638778	-1.9982698038611177	-1.8241880062782692
OG0003714.0	OG0000664.3	OG0006833.2	OG0006123.2	OG0000056.0	OG0006009.0	OG0000187.1	OG0000318.0	OG0001609.10	OG0013832.0	OG0002102.0	OG0000176.0	OG0004819.4	OG0005921.2	OG0003161.14	OG0000710.0	OG0000225.48	OG0004292.0	OG0008912.1
-0.859090493458338	-1.0619024389259069	-1.0929555251272016	-2.0954195650786827	0.25229454120183664	-1.0457292298551206	-0.2067283455019175	-0.8614476248473515	-0.7027498788282933	-2.016249351645075	-2.3503385593573003	-0.33387969740416884	-0.97171375692089	-1.2764851241261952	-0.5525794954095031	-0.6517675807607293	-0.3057883922321096	-1.1597180585730555	-0.36178711457659374
OG0000015.1	OG0005394.0	OG0002260.4	OG0005222.2	OG0004814.0	OG0000257.0	OG0002729.16	OG0004461.4	OG0005090.0	OG0000349.0	OG0000350.8	OG0005133.0	OG0008971.2	OG0004771.0	OG0008245.0	OG0000634.26	OG0000435.0	OG0000011.1	OG0002166.0
0.7040751643766956	-0.596623193312918	-0.8367589148364569	-1.6601784950766576	-0.9753966328593433	0.0001442622910945383	-1.4134994447185751	-1.626379626754263	-0.7249929525001302	-0.4111954329844497	-0.40144422667648927	-0.8298185422347496	-1.9867878885731491	-0.34960305333021074	-2.1655314782896973	-1.2747387311749092	0.490672809713238	0.5140970048942337	-0.4254624786979365
OG0004452.2	OG0000575.28	OG0000429.0	OG0002751.22	OG0003331.17	OG0002471.0	OG0000132.40	OG0003866.0	OG0001322.24	OG0008611.0	OG0000916.24	OG0009839.2	OG0005124.4	OG0006010.2	OG0000121.128	OG0005681.2	OG0000120.105	OG0003068.0	OG0000010.475
-1.127210631993763	-0.6810758359699232	-0.28086037780067485	-0.0609991549304867	-0.28103566424046145	-1.4131151871478154	-0.12406270353362446	-0.5024642736039957	-0.7971121665298566	-1.4731299136431737	-0.17869796011047026	-1.3057883922321096	-2.3658714424749596	-1.4138838046624735	-0.9810810178369486	-0.9534390942422588	-0.5544851616978876	-0.5454029434654504	0.007339046008161679
OG0000483.0	OG0004435.0	OG0004142.0	OG0000119.0	OG0000853.1	OG0002777.4	OG0003925.0	OG0004243.8	OG0000409.24	OG0005666.2	OG0002231.0	OG0000121.128	OG0006082.0	OG0000027.457	OG0006184.0	OG0011295.0	OG0000142.14	OG0011419.0	OG0004054.20
-0.9683225035492398	-1.1250063610670327	-0.5014427519009832	-0.8567372069613801	-0.6510877590058004	-0.8114724732255982	-0.7264244343846205	-0.7069827279504917	0.10447085776291738	-0.9342898359347342	-1.4386983058546305	-0.9810810178369486	-0.4367442285670112	-0.9018499789079885	-1.563624917755461	-2.4916727707196795	-0.09557370739849257	-0.07810671040588053	-1.6702449142552531
OG0002765.0	OG0000015.773	OG0000480.64	OG0009906.2	OG0000334.9	OG0000006.561	OG0006833.2	OG0000323.43	OG0002825.0	OG0002848.0	OG0000350.8	OG0003625.28	OG0005303.2	OG0000047.282	OG0004647.0	OG0004304.0	OG0000599.0	OG0005444.0
0.2715451984856866	0.24744147114440776	-1.2385445071772796	-0.8596139677169436	-0.4353779475630195	-0.17266872938773947	-1.0929555251272016	-1.4647432890961618	0.3494785145191088	-0.9593179411969922	-0.40144422667648927	-1.2768346565424147	-0.8609234849538883	-0.4221724087637519	-0.2368434162587132	-1.4073635713934227	-0.9312604093276949	-0.2596336568445619
OG0004837.2	OG0000013.2	OG0003229.0	OG0000071.0	OG0000310.18	OG0000736.0	OG0000538.0	OG0000187.1	OG0003818.6	OG0000175.4	OG0000966.4	OG0001806.0	OG0003568.0	OG0011803.0	OG0006589.0	OG0005886.2	OG0000435.0	OG0007404.0	OG0006490.14
-1.5006260549978325	0.07464243793449277	-1.2611889370296836	-0.24331826019099598	-0.14082554413356455	-0.68478158863421	-0.9129445654566243	-0.2067283455019175	-0.28401879681160275	-0.9548366483967755	0.2167342196001311	-0.6608626150804147	-1.0715728231243147	-1.046027091947825	-1.7374465726807091	-1.3815733833540693	0.490672809713238	-1.4715286981171078	-1.7898605425983316
